Breed,Gender,Age_time_of_death,Height,Weight,Likes,Skills
Boxer,Male,11.1,24.27,72.69,likes_people_better_than_dogs,no_special_skills
Rottweiler,Female,9.6,25.47,83.5,likes_dogs_better_than_people,high_trainability
Siberian Husky,Female,13.1,22.02,42.52,likes_everybody,barks_like_hell
Doberman Pinscher,Female,10.9,26.61,76.81,likes_people_better_than_dogs,high_trainability
Giant Schnauzer,Male,13.7,26.61,76.88,likes_dogs_better_than_people,high_trainability
Giant Schnauzer,Male,12.3,26.77,71.93,likes_dogs_better_than_people,high_trainability
Border Collie,Female,13.9,20.37,41.6,likes_people_better_than_dogs,high_trainability
Dachshund,Female,14.2,8.45,25.21,likes_dogs_better_than_people,barks_like_hell
Plott Hound,Male,12.6,21.26,54.27,likes_nobody,no_special_skills
Barbet,Male,12.9,20.84,47.95,likes_dogs_better_than_people,no_special_skills
French Bulldog,Male,11.2,11.99,24.2,likes_people_better_than_dogs,no_special_skills
American Bulldog,Female,10.3,23.2,68.83,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Male,12.8,14.92,27.18,likes_everybody,no_special_skills
Tibetan Mastiff,Male,10.8,28.22,101.52,likes_dogs_better_than_people,no_special_skills
Boxer,Male,11.3,23.52,76.43,likes_people_better_than_dogs,no_special_skills
Dachshund,Male,15.0,8.5,25.07,likes_dogs_better_than_people,barks_like_hell
Great Dane,Female,8.7,30.98,130.27,likes_dogs_better_than_people,no_special_skills
French Bulldog,Female,11.9,11.9,22.87,likes_people_better_than_dogs,no_special_skills
American Bulldog,Female,11.2,21.88,77.16,likes_dogs_better_than_people,no_special_skills
Greyhound,Male,11.0,28.07,67.36,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Male,13.9,21.97,62.58,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Female,10.5,26.36,88.45,likes_dogs_better_than_people,no_special_skills
Rottweiler,Female,9.4,24.67,92.53,likes_dogs_better_than_people,high_trainability
Cane Corso,Female,10.7,25.09,93.65,likes_dogs_better_than_people,no_special_skills
Beagle,Female,14.1,14.05,24.47,likes_dogs_better_than_people,no_special_skills
Beagle,Male,12.5,15.27,17.5,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,10.9,27.0,94.45,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Female,13.9,21.74,51.24,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Female,11.1,25.99,107.27,likes_dogs_better_than_people,no_special_skills
American Bulldog,Female,10.6,21.42,71.55,likes_dogs_better_than_people,no_special_skills
Basset Hound,Female,12.4,12.79,51.93,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Male,10.9,28.16,125.69,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.5,31.76,168.86,likes_dogs_better_than_people,no_special_skills
Siberian Husky,Male,13.2,22.04,53.85,likes_everybody,barks_like_hell
Siberian Husky,Male,13.1,21.05,53.79,likes_everybody,barks_like_hell
Barbet,Female,12.7,21.34,42.76,likes_dogs_better_than_people,no_special_skills
Barbet,Female,13.4,21.25,57.11,likes_dogs_better_than_people,no_special_skills
French Bulldog,Male,11.1,11.77,23.27,likes_people_better_than_dogs,no_special_skills
Barbet,Female,13.1,21.62,52.23,likes_dogs_better_than_people,no_special_skills
Chihuahua,Female,14.9,6.39,4.86,likes_dogs_better_than_people,barks_like_hell
Basset Hound,Female,12.6,12.82,54.37,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Male,12.4,16.05,19.51,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Female,11.5,23.09,58.39,likes_everybody,high_trainability
Basset Hound,Female,12.4,12.32,48.47,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Male,14.0,21.87,60.35,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Male,13.7,21.56,54.62,likes_people_better_than_dogs,high_trainability
Barbet,Male,13.2,20.85,54.01,likes_dogs_better_than_people,no_special_skills
Rottweiler,Male,9.5,26.3,123.09,likes_dogs_better_than_people,high_trainability
Rottweiler,Female,9.5,26.04,86.65,likes_dogs_better_than_people,high_trainability
Cocker Spaniel,Male,11.6,14.78,27.08,likes_everybody,no_special_skills
Boxer,Female,10.4,23.89,53.93,likes_people_better_than_dogs,no_special_skills
Dachshund,Male,14.0,8.68,27.65,likes_dogs_better_than_people,barks_like_hell
Boxer,Female,11.1,24.33,55.89,likes_people_better_than_dogs,no_special_skills
Tibetan Mastiff,Female,10.8,26.17,89.02,likes_dogs_better_than_people,no_special_skills
American Bulldog,Male,10.9,24.21,82.07,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Female,11.0,25.22,70.0,likes_people_better_than_dogs,no_special_skills
Tibetan Mastiff,Female,11.1,25.99,105.19,likes_dogs_better_than_people,no_special_skills
Bloodhound,Male,10.9,25.71,98.25,likes_dogs_better_than_people,barks_like_hell
Cane Corso,Male,10.6,26.07,103.91,likes_dogs_better_than_people,no_special_skills
Barbet,Female,13.2,22.57,49.2,likes_dogs_better_than_people,no_special_skills
Belgian Malinois,Male,14.9,25.09,72.99,likes_dogs_better_than_people,high_trainability
Labrador Retriever,Male,11.1,23.26,72.81,likes_everybody,high_trainability
Great Dane,Male,8.0,30.79,155.72,likes_dogs_better_than_people,no_special_skills
Plott Hound,Male,13.2,23.77,55.09,likes_nobody,no_special_skills
Belgian Malinois,Male,15.3,25.18,65.4,likes_dogs_better_than_people,high_trainability
Border Collie,Female,12.9,21.04,39.12,likes_people_better_than_dogs,high_trainability
Doberman Pinscher,Male,10.6,26.8,89.87,likes_people_better_than_dogs,high_trainability
Greyhound,Female,11.8,28.36,61.74,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Female,12.1,15.71,24.79,likes_people_better_than_dogs,no_special_skills
Boxer,Female,11.1,23.58,60.58,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Male,10.9,23.31,72.8,likes_everybody,high_trainability
Golden Retriever,Male,11.0,23.32,69.97,likes_everybody,high_trainability
Basset Hound,Male,12.5,12.31,56.27,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Female,11.0,26.95,90.11,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Female,11.4,26.73,72.91,likes_people_better_than_dogs,high_trainability
Labrador Retriever,Female,11.0,23.77,62.34,likes_everybody,high_trainability
Pug,Female,13.6,10.65,16.22,likes_people_better_than_dogs,no_special_skills
American Bulldog,Female,11.1,22.04,68.77,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,10.7,27.11,90.82,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Male,10.7,28.11,116.31,likes_dogs_better_than_people,no_special_skills
Belgian Malinois,Female,14.9,24.56,52.54,likes_dogs_better_than_people,high_trainability
Dachshund,Male,13.3,8.56,24.68,likes_dogs_better_than_people,barks_like_hell
Giant Schnauzer,Female,13.4,26.7,62.42,likes_dogs_better_than_people,high_trainability
Basset Hound,Female,12.5,11.45,48.39,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Female,11.1,25.94,70.0,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Male,13.7,26.55,75.29,likes_dogs_better_than_people,high_trainability
Cocker Spaniel,Male,11.0,15.03,28.23,likes_everybody,no_special_skills
Rhodesian Ridgeback,Male,11.1,25.74,85.0,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Female,10.8,23.41,60.09,likes_everybody,high_trainability
Belgian Malinois,Male,15.2,24.59,68.55,likes_dogs_better_than_people,high_trainability
Beagle,Male,11.9,14.82,18.09,likes_dogs_better_than_people,no_special_skills
Border Collie,Male,13.6,21.07,47.01,likes_people_better_than_dogs,high_trainability
French Bulldog,Female,10.9,11.63,21.62,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Male,12.9,26.58,66.91,likes_dogs_better_than_people,high_trainability
Dachshund,Male,13.5,8.93,24.14,likes_dogs_better_than_people,barks_like_hell
Dachshund,Female,13.9,8.41,23.06,likes_dogs_better_than_people,barks_like_hell
Giant Schnauzer,Male,13.2,26.72,77.51,likes_dogs_better_than_people,high_trainability
Plott Hound,Female,13.5,21.89,42.83,likes_nobody,no_special_skills
Cocker Spaniel,Female,10.5,15.08,22.99,likes_everybody,no_special_skills
Cane Corso,Male,10.3,26.33,104.1,likes_dogs_better_than_people,no_special_skills
Bloodhound,Female,11.2,25.91,87.75,likes_dogs_better_than_people,barks_like_hell
Chihuahua,Male,15.1,6.58,4.7,likes_dogs_better_than_people,barks_like_hell
Bloodhound,Female,11.0,26.31,88.17,likes_dogs_better_than_people,barks_like_hell
Beagle,Male,12.2,14.53,17.93,likes_dogs_better_than_people,no_special_skills
Chihuahua,Female,14.9,6.31,4.43,likes_dogs_better_than_people,barks_like_hell
Greyhound,Male,11.4,29.39,68.01,likes_dogs_better_than_people,no_special_skills
American Bulldog,Male,11.2,21.23,85.97,likes_dogs_better_than_people,no_special_skills
Bloodhound,Male,11.1,26.19,102.45,likes_dogs_better_than_people,barks_like_hell
Boston Terrier,Male,11.7,15.86,20.12,likes_people_better_than_dogs,no_special_skills
Cane Corso,Female,10.3,26.57,94.32,likes_dogs_better_than_people,no_special_skills
Plott Hound,Male,13.6,23.07,54.33,likes_nobody,no_special_skills
Boxer,Male,10.5,24.58,72.58,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Male,14.7,26.65,66.64,likes_dogs_better_than_people,high_trainability
Siberian Husky,Male,12.4,22.5,54.37,likes_everybody,barks_like_hell
Belgian Malinois,Female,14.7,24.9,50.29,likes_dogs_better_than_people,high_trainability
Golden Retriever,Male,11.0,23.32,73.44,likes_everybody,high_trainability
Basset Hound,Female,12.8,12.36,53.7,likes_dogs_better_than_people,no_special_skills
Dachshund,Male,13.2,8.57,24.78,likes_dogs_better_than_people,barks_like_hell
Boston Terrier,Female,11.8,16.55,18.37,likes_people_better_than_dogs,no_special_skills
Bloodhound,Female,11.7,25.95,88.4,likes_dogs_better_than_people,barks_like_hell
Bloodhound,Female,10.8,25.76,88.63,likes_dogs_better_than_people,barks_like_hell
Greyhound,Female,11.5,28.88,62.58,likes_dogs_better_than_people,no_special_skills
Siberian Husky,Male,13.1,22.81,50.47,likes_everybody,barks_like_hell
Dachshund,Female,14.0,8.35,25.64,likes_dogs_better_than_people,barks_like_hell
Cane Corso,Female,10.5,25.73,92.26,likes_dogs_better_than_people,no_special_skills
Greyhound,Female,11.3,29.17,63.17,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,10.9,26.77,81.35,likes_people_better_than_dogs,high_trainability
Golden Retriever,Male,10.9,23.33,71.02,likes_everybody,high_trainability
Chihuahua,Male,15.3,6.31,5.22,likes_dogs_better_than_people,barks_like_hell
Siberian Husky,Female,12.9,22.81,43.35,likes_everybody,barks_like_hell
Australian Shepherd,Female,14.5,21.01,45.51,likes_people_better_than_dogs,high_trainability
French Bulldog,Female,11.0,12.11,21.45,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Female,13.0,26.89,60.78,likes_dogs_better_than_people,high_trainability
Doberman Pinscher,Male,11.0,26.76,87.48,likes_people_better_than_dogs,high_trainability
Rottweiler,Female,9.2,26.15,92.38,likes_dogs_better_than_people,high_trainability
Barbet,Male,13.2,22.82,41.18,likes_dogs_better_than_people,no_special_skills
Border Collie,Female,13.3,19.5,45.02,likes_people_better_than_dogs,high_trainability
Giant Schnauzer,Female,14.0,26.62,63.38,likes_dogs_better_than_people,high_trainability
Golden Retriever,Female,10.5,23.44,62.26,likes_everybody,high_trainability
Boston Terrier,Female,11.9,16.2,15.66,likes_people_better_than_dogs,no_special_skills
Great Dane,Male,8.5,31.2,155.72,likes_dogs_better_than_people,no_special_skills
Beagle,Female,11.3,13.89,25.0,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Male,13.7,22.08,55.25,likes_people_better_than_dogs,high_trainability
Barbet,Female,13.4,22.14,48.91,likes_dogs_better_than_people,no_special_skills
American Bulldog,Male,11.2,25.13,89.73,likes_dogs_better_than_people,no_special_skills
Boxer,Female,11.4,24.23,56.15,likes_people_better_than_dogs,no_special_skills
Boston Terrier,Male,12.1,16.11,17.89,likes_people_better_than_dogs,no_special_skills
Doberman Pinscher,Female,10.8,27.3,75.57,likes_people_better_than_dogs,high_trainability
Beagle,Female,12.9,13.91,22.87,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Male,12.3,21.96,56.33,likes_people_better_than_dogs,high_trainability
Pug,Male,14.6,12.48,14.31,likes_people_better_than_dogs,no_special_skills
Barbet,Male,13.1,22.94,52.94,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Male,11.0,27.12,111.42,likes_dogs_better_than_people,no_special_skills
Plott Hound,Female,13.2,22.48,48.34,likes_nobody,no_special_skills
Barbet,Female,12.8,20.14,43.39,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Female,13.3,20.95,50.62,likes_people_better_than_dogs,high_trainability
American Bulldog,Male,10.8,21.27,85.67,likes_dogs_better_than_people,no_special_skills
French Bulldog,Male,10.7,12.05,24.17,likes_people_better_than_dogs,no_special_skills
Pug,Female,14.2,11.3,15.72,likes_people_better_than_dogs,no_special_skills
Rhodesian Ridgeback,Female,10.6,25.85,70.0,likes_people_better_than_dogs,no_special_skills
Golden Retriever,Male,11.3,23.33,67.86,likes_everybody,high_trainability
Cocker Spaniel,Male,12.1,15.02,26.85,likes_everybody,no_special_skills
Basset Hound,Female,12.4,12.94,55.36,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Female,11.7,25.74,70.0,likes_people_better_than_dogs,no_special_skills
Beagle,Female,12.5,14.42,27.87,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Female,13.3,21.98,48.82,likes_people_better_than_dogs,high_trainability
Great Dane,Female,7.9,31.22,120.71,likes_dogs_better_than_people,no_special_skills
American Bulldog,Male,11.5,22.45,87.79,likes_dogs_better_than_people,no_special_skills
Pug,Male,13.8,12.37,17.05,likes_people_better_than_dogs,no_special_skills
French Bulldog,Female,10.6,12.36,19.8,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Female,10.4,23.88,64.48,likes_everybody,high_trainability
Siberian Husky,Male,12.8,22.06,53.46,likes_everybody,barks_like_hell
Australian Shepherd,Male,13.8,22.5,56.33,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Female,11.1,25.07,102.35,likes_dogs_better_than_people,no_special_skills
Belgian Malinois,Male,14.8,24.97,70.2,likes_dogs_better_than_people,high_trainability
Australian Shepherd,Male,12.8,21.96,59.09,likes_people_better_than_dogs,high_trainability
Giant Schnauzer,Female,14.2,26.43,63.77,likes_dogs_better_than_people,high_trainability
Barbet,Female,13.0,21.86,49.81,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Female,12.5,14.73,22.88,likes_everybody,no_special_skills
Australian Shepherd,Female,13.5,22.24,47.58,likes_people_better_than_dogs,high_trainability
Greyhound,Male,10.9,29.43,67.82,likes_dogs_better_than_people,no_special_skills
American Bulldog,Male,10.9,25.1,88.58,likes_dogs_better_than_people,no_special_skills
French Bulldog,Female,11.6,12.59,21.72,likes_people_better_than_dogs,no_special_skills
Rottweiler,Male,9.3,25.08,109.92,likes_dogs_better_than_people,high_trainability
Australian Shepherd,Female,14.2,21.32,49.76,likes_people_better_than_dogs,high_trainability
Rottweiler,Female,9.4,25.09,93.87,likes_dogs_better_than_people,high_trainability
Belgian Malinois,Female,15.6,24.91,46.83,likes_dogs_better_than_people,high_trainability
Great Dane,Female,8.9,31.34,137.73,likes_dogs_better_than_people,no_special_skills
Border Collie,Male,13.4,20.57,49.71,likes_people_better_than_dogs,high_trainability
Rottweiler,Female,9.4,25.46,90.88,likes_dogs_better_than_people,high_trainability
Basset Hound,Male,12.4,12.73,56.68,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,10.9,27.48,88.33,likes_people_better_than_dogs,high_trainability
Border Collie,Female,13.3,19.76,50.03,likes_people_better_than_dogs,high_trainability
Chihuahua,Female,15.2,5.88,5.23,likes_dogs_better_than_people,barks_like_hell
Great Dane,Male,8.3,30.67,156.61,likes_dogs_better_than_people,no_special_skills
Boxer,Female,11.4,24.17,56.7,likes_people_better_than_dogs,no_special_skills
Pug,Female,13.7,11.67,15.89,likes_people_better_than_dogs,no_special_skills
Plott Hound,Female,13.5,22.3,47.93,likes_nobody,no_special_skills
Giant Schnauzer,Male,13.0,25.7,74.77,likes_dogs_better_than_people,high_trainability
Greyhound,Male,12.0,29.19,66.27,likes_dogs_better_than_people,no_special_skills
Dachshund,Male,14.5,8.47,20.94,likes_dogs_better_than_people,barks_like_hell
Giant Schnauzer,Female,13.2,26.18,66.5,likes_dogs_better_than_people,high_trainability
Cocker Spaniel,Female,12.6,14.77,21.72,likes_everybody,no_special_skills
Great Dane,Female,8.5,30.56,127.44,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Female,10.7,26.92,76.56,likes_people_better_than_dogs,high_trainability
Rottweiler,Male,9.7,25.97,122.54,likes_dogs_better_than_people,high_trainability
Australian Shepherd,Male,13.3,22.36,55.25,likes_people_better_than_dogs,high_trainability
Labrador Retriever,Female,11.3,23.31,62.54,likes_everybody,high_trainability
French Bulldog,Male,11.1,11.88,22.72,likes_people_better_than_dogs,no_special_skills
Great Dane,Male,9.2,30.51,146.11,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Male,11.2,23.22,70.19,likes_everybody,high_trainability
Chihuahua,Male,14.6,6.32,4.84,likes_dogs_better_than_people,barks_like_hell
Boxer,Female,11.6,24.31,58.49,likes_people_better_than_dogs,no_special_skills
Tibetan Mastiff,Female,10.9,24.79,88.93,likes_dogs_better_than_people,no_special_skills
Basset Hound,Female,12.8,12.05,54.26,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Male,11.8,15.63,18.9,likes_people_better_than_dogs,no_special_skills
Chihuahua,Male,15.0,6.07,4.77,likes_dogs_better_than_people,barks_like_hell
Rhodesian Ridgeback,Female,10.8,26.21,70.0,likes_people_better_than_dogs,no_special_skills
Siberian Husky,Female,13.2,22.15,41.09,likes_everybody,barks_like_hell
Cane Corso,Male,10.0,25.71,103.88,likes_dogs_better_than_people,no_special_skills
Barbet,Female,12.8,21.06,54.71,likes_dogs_better_than_people,no_special_skills
Bloodhound,Female,11.3,26.42,86.54,likes_dogs_better_than_people,barks_like_hell
American Bulldog,Female,10.6,22.23,68.06,likes_dogs_better_than_people,no_special_skills
French Bulldog,Female,11.2,12.04,22.19,likes_people_better_than_dogs,no_special_skills
Bloodhound,Female,11.0,26.29,93.61,likes_dogs_better_than_people,barks_like_hell
American Bulldog,Female,11.0,21.76,75.54,likes_dogs_better_than_people,no_special_skills
French Bulldog,Male,10.8,11.65,21.64,likes_people_better_than_dogs,no_special_skills
Basset Hound,Female,12.3,11.96,52.86,likes_dogs_better_than_people,no_special_skills
Labrador Retriever,Female,11.2,23.61,63.45,likes_everybody,high_trainability
Great Dane,Male,7.9,31.34,163.44,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Female,10.9,23.74,59.95,likes_everybody,high_trainability
Plott Hound,Female,13.1,23.02,43.89,likes_nobody,no_special_skills
Great Dane,Male,9.2,31.08,162.33,likes_dogs_better_than_people,no_special_skills
Cane Corso,Female,10.6,26.5,95.97,likes_dogs_better_than_people,no_special_skills
French Bulldog,Female,11.1,11.63,22.85,likes_people_better_than_dogs,no_special_skills
Golden Retriever,Male,10.5,23.37,68.05,likes_everybody,high_trainability
Boxer,Male,11.3,24.77,72.4,likes_people_better_than_dogs,no_special_skills
Chihuahua,Female,14.6,5.77,4.78,likes_dogs_better_than_people,barks_like_hell
Labrador Retriever,Male,10.8,23.09,73.34,likes_everybody,high_trainability
Border Collie,Female,13.5,20.26,40.13,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Male,11.6,28.31,137.8,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,7.8,31.42,165.72,likes_dogs_better_than_people,no_special_skills
Beagle,Male,11.9,15.33,16.11,likes_dogs_better_than_people,no_special_skills
Barbet,Male,13.0,23.55,50.85,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,10.6,27.35,87.45,likes_people_better_than_dogs,high_trainability
Labrador Retriever,Male,11.4,23.15,73.78,likes_everybody,high_trainability
Tibetan Mastiff,Female,11.2,25.26,100.87,likes_dogs_better_than_people,no_special_skills
Beagle,Female,11.0,14.08,27.0,likes_dogs_better_than_people,no_special_skills
Barbet,Female,13.2,20.8,65.16,likes_dogs_better_than_people,no_special_skills
Border Collie,Male,13.5,20.41,41.03,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Female,13.7,21.83,50.29,likes_people_better_than_dogs,high_trainability
Cocker Spaniel,Male,11.6,15.06,27.46,likes_everybody,no_special_skills
Beagle,Female,12.8,14.11,22.69,likes_dogs_better_than_people,no_special_skills
Dachshund,Female,13.8,8.8,25.28,likes_dogs_better_than_people,barks_like_hell
Belgian Malinois,Male,15.1,25.31,69.94,likes_dogs_better_than_people,high_trainability
Basset Hound,Male,12.5,12.38,56.03,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Male,12.3,15.0,26.56,likes_everybody,no_special_skills
Cocker Spaniel,Female,11.7,15.19,22.05,likes_everybody,no_special_skills
Doberman Pinscher,Female,11.3,27.24,71.38,likes_people_better_than_dogs,high_trainability
American Bulldog,Female,11.7,23.1,69.48,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Female,10.5,25.83,90.46,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Male,11.5,26.25,85.0,likes_people_better_than_dogs,no_special_skills
Great Dane,Female,8.3,31.45,123.61,likes_dogs_better_than_people,no_special_skills
American Bulldog,Female,10.9,22.21,66.67,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Female,12.1,15.18,21.29,likes_everybody,no_special_skills
Great Dane,Female,8.7,31.27,123.14,likes_dogs_better_than_people,no_special_skills
American Bulldog,Female,10.9,22.96,74.5,likes_dogs_better_than_people,no_special_skills
Border Collie,Male,13.3,20.52,36.96,likes_people_better_than_dogs,high_trainability
Plott Hound,Male,12.8,22.81,57.38,likes_nobody,no_special_skills
Beagle,Female,11.1,14.04,25.76,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Female,11.4,15.38,22.72,likes_everybody,no_special_skills
Greyhound,Male,11.8,29.1,67.66,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Female,11.1,23.44,60.2,likes_everybody,high_trainability
French Bulldog,Female,11.2,11.54,22.42,likes_people_better_than_dogs,no_special_skills
Golden Retriever,Male,10.7,23.54,68.33,likes_everybody,high_trainability
Golden Retriever,Female,10.8,23.56,62.33,likes_everybody,high_trainability
Labrador Retriever,Female,11.5,24.0,65.83,likes_everybody,high_trainability
Beagle,Female,12.4,14.21,25.26,likes_dogs_better_than_people,no_special_skills
Plott Hound,Female,12.7,21.57,45.65,likes_nobody,no_special_skills
Cane Corso,Female,9.5,25.84,92.05,likes_dogs_better_than_people,no_special_skills
Great Dane,Female,8.6,31.39,125.7,likes_dogs_better_than_people,no_special_skills
Boxer,Male,10.8,24.31,71.71,likes_people_better_than_dogs,no_special_skills
Great Dane,Female,8.8,31.49,124.9,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Female,11.0,27.43,68.23,likes_people_better_than_dogs,high_trainability
Beagle,Female,14.1,14.34,27.0,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Male,10.8,23.55,71.07,likes_everybody,high_trainability
Golden Retriever,Female,10.8,23.57,59.7,likes_everybody,high_trainability
American Bulldog,Male,10.8,25.14,90.66,likes_dogs_better_than_people,no_special_skills
Border Collie,Female,13.4,19.69,42.34,likes_people_better_than_dogs,high_trainability
Labrador Retriever,Male,10.9,23.61,71.13,likes_everybody,high_trainability
Greyhound,Female,11.1,29.0,61.58,likes_dogs_better_than_people,no_special_skills
Boxer,Female,11.0,23.69,57.69,likes_people_better_than_dogs,no_special_skills
Belgian Malinois,Female,15.7,25.22,50.01,likes_dogs_better_than_people,high_trainability
Cane Corso,Female,10.5,26.26,96.47,likes_dogs_better_than_people,no_special_skills
Boxer,Male,10.9,24.18,71.48,likes_people_better_than_dogs,no_special_skills
Greyhound,Male,10.5,29.02,69.07,likes_dogs_better_than_people,no_special_skills
Giant Schnauzer,Female,13.9,26.78,62.07,likes_dogs_better_than_people,high_trainability
Beagle,Female,13.8,13.9,23.78,likes_dogs_better_than_people,no_special_skills
Rottweiler,Male,9.7,25.87,119.19,likes_dogs_better_than_people,high_trainability
Labrador Retriever,Male,11.2,24.01,66.49,likes_everybody,high_trainability
Golden Retriever,Male,11.0,23.65,68.76,likes_everybody,high_trainability
Greyhound,Male,11.8,28.66,67.16,likes_dogs_better_than_people,no_special_skills
Siberian Husky,Male,13.1,22.2,55.77,likes_everybody,barks_like_hell
Boston Terrier,Male,12.1,15.84,20.69,likes_people_better_than_dogs,no_special_skills
Australian Shepherd,Male,13.5,21.69,59.84,likes_people_better_than_dogs,high_trainability
Pug,Male,13.8,12.15,16.28,likes_people_better_than_dogs,no_special_skills
American Bulldog,Male,11.0,24.06,85.4,likes_dogs_better_than_people,no_special_skills
Greyhound,Female,11.4,29.09,62.47,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Female,11.3,26.25,70.0,likes_people_better_than_dogs,no_special_skills
Doberman Pinscher,Female,11.0,27.54,70.9,likes_people_better_than_dogs,high_trainability
Cocker Spaniel,Male,12.3,15.16,27.3,likes_everybody,no_special_skills
Barbet,Male,12.6,21.65,52.45,likes_dogs_better_than_people,no_special_skills
American Bulldog,Male,11.4,22.22,97.93,likes_dogs_better_than_people,no_special_skills
Barbet,Male,12.8,20.11,53.66,likes_dogs_better_than_people,no_special_skills
Plott Hound,Female,13.3,21.03,45.59,likes_nobody,no_special_skills
Giant Schnauzer,Female,13.2,26.47,59.58,likes_dogs_better_than_people,high_trainability
Beagle,Female,12.4,13.91,26.06,likes_dogs_better_than_people,no_special_skills
Border Collie,Male,12.9,20.87,42.61,likes_people_better_than_dogs,high_trainability
Dachshund,Female,14.5,8.57,26.92,likes_dogs_better_than_people,barks_like_hell
Boxer,Female,10.8,23.77,57.15,likes_people_better_than_dogs,no_special_skills
Basset Hound,Female,12.5,11.92,49.15,likes_dogs_better_than_people,no_special_skills
Chihuahua,Male,15.2,6.65,4.95,likes_dogs_better_than_people,barks_like_hell
Rhodesian Ridgeback,Male,11.3,25.9,85.0,likes_people_better_than_dogs,no_special_skills
Cocker Spaniel,Male,12.6,14.65,26.97,likes_everybody,no_special_skills
Pug,Male,14.3,10.86,14.84,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Male,14.4,26.53,70.65,likes_dogs_better_than_people,high_trainability
Border Collie,Female,13.6,20.38,46.64,likes_people_better_than_dogs,high_trainability
Basset Hound,Male,12.6,13.36,55.68,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.5,31.55,161.29,likes_dogs_better_than_people,no_special_skills
Chihuahua,Female,15.8,6.68,4.97,likes_dogs_better_than_people,barks_like_hell
American Bulldog,Female,11.0,22.48,72.16,likes_dogs_better_than_people,no_special_skills
Chihuahua,Male,14.2,6.79,4.98,likes_dogs_better_than_people,barks_like_hell
Doberman Pinscher,Female,11.2,27.07,69.61,likes_people_better_than_dogs,high_trainability
Boston Terrier,Male,12.0,15.92,18.99,likes_people_better_than_dogs,no_special_skills
Boston Terrier,Male,11.9,15.66,20.52,likes_people_better_than_dogs,no_special_skills
Chihuahua,Female,15.5,6.5,5.39,likes_dogs_better_than_people,barks_like_hell
Pug,Male,14.2,11.54,16.72,likes_people_better_than_dogs,no_special_skills
French Bulldog,Female,11.0,12.27,23.88,likes_people_better_than_dogs,no_special_skills
